FechaPublicacion,Etapa,FechaInicio,FechaFin,Caso,NombreCaso,CodigoAreaOperativa,AportesProyectados,AnioEstudio,MesEstudio
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0127,2378903.25,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0128,28642352.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Promedio,Are0128,42314596.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0056,45401228.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0056,46276652.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Promedio,Are0010,281769152.0,2023,3
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0128,26208304.0,2025,2
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Promedio,Are0128,43544608.0,2025,2
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0056,40145556.0,2025,2
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0056,40145556.0,2025,2
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Promedio,Are0056,71105336.0,2025,2
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0012,8071613.0,2025,2
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0012,8071613.0,2025,2
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Promedio,Are0012,22921452.0,2025,2
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0002,61414124.0,2025,2
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0002,61414124.0,2025,2
2025-02-15,4,2025-05-01,2025-05-31,Autonomo,Promedio,Are0002,132527336.0,2025,2
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Promedio,Are0010,278740544.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0012,11520000.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0010,192748384.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0002,78522672.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0002,78522672.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0128,29958316.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Promedio,Are0012,22537358.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0010,388838720.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Promedio,Are0056,68119768.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0128,29958316.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0128,28602348.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Promedio,Are0127,4012687.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0056,46402776.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0127,2209613.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0127,2170516.25,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0012,10172903.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0002,78104608.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0012,10172903.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Promedio,Are0010,273275584.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Promedio,Are0002,141653904.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Promedio,Are0128,39501908.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Promedio,Are0002,143364112.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0010,389193536.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0012,11520000.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0056,46832808.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0056,46402776.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Promedio,Are0128,40705980.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0056,46832808.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0127,2170516.25,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Promedio,Are0056,67105280.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Promedio,Are0127,3750640.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0127,2209613.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Promedio,Are0012,21264216.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0010,200148384.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0128,28602348.0,2023,1
2023-10-10,29,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0002,78104608.0,2023,1
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0128,32028362.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Promedio,Are0002,147304880.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0128,32028362.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0012,9351613.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Promedio,Are0128,42351472.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0002,87662648.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Promedio,Are0012,23880090.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0127,1932419.375,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Promedio,Are0056,70402368.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0010,373000000.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0127,1932419.375,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0002,91722152.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0010,404129024.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0128,28518606.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0127,1844709.625,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0002,87662648.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0012,9351613.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Promedio,Are0128,37500280.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Promedio,Are0127,3570987.75,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0002,91722152.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Promedio,Are0010,288205632.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0127,1844709.625,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Coordinado,Promedio,Are0056,66788528.0,2022,11
2023-10-09,31,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0010,198896768.0,2022,11
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Promedio,Are0128,38197516.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0002,92459800.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Promedio,Are0010,269545600.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0010,195193552.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0012,12023548.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0056,40885836.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0127,2066612.875,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Promedio,Are0127,3464275.5,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0010,185838704.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0012,9333871.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Promedio,Are0012,20082470.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Promedio,Are0002,148101856.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0056,46201612.0,2022,8
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0127,2135483.75,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Promedio,Are0002,146458192.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0127,2135483.75,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0056,47060052.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Promedio,Are0128,42710240.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0010,187183872.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0002,83511824.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0012,10104516.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Promedio,Are0010,291765440.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0010,194251616.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Promedio,Are0002,147978752.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0012,10104516.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0127,2067032.25,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0002,83511824.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Promedio,Are0010,286939072.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Promedio,Are0128,41412328.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0056,48187764.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0010,407870976.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0128,29306504.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0012,10104516.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0010,411483872.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0056,48187764.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0002,83163120.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0128,29306504.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0128,29028638.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0002,83163120.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Promedio,Are0012,23363004.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0056,47060052.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0128,29028638.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Promedio,Are0127,4183010.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0127,2067032.25,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Coordinado,Promedio,Are0056,71522912.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0012,10104516.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Promedio,Are0012,24503580.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Promedio,Are0127,4367417.0,2023,4
2023-10-10,26,2025-05-01,2025-05-31,Autonomo,Promedio,Are0056,72205904.0,2023,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Promedio,Are0128,37558564.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0056,45278904.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0127,2083193.5,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0010,170080640.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Promedio,Are0010,259732096.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0012,8844839.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0127,2083193.5,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Promedio,Are0002,137722864.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0002,82828848.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Promedio,Are0056,60649976.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Autonomo,Promedio,Are0127,4374376.5,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0127,2393096.75,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0012,7601935.5,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0010,178109680.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0002,82828848.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0056,40006988.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0128,26937162.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0056,40006988.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Promedio,Are0012,20336470.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0127,2393096.75,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0012,8844839.0,2022,4
2023-10-09,38,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0012,7601935.5,2022,4
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0128,28642352.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0010,423645152.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Promedio,Are0010,286112640.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0128,28426558.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Promedio,Are0127,4270797.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0012,10392581.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Promedio,Are0127,4541157.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0002,76966216.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0012,10392581.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0128,28426558.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Promedio,Are0012,23476870.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0012,10526452.0,2023,3
2023-10-10,27,2025-05-01,2025-05-31,Coordinado,Promedio,Are0012,22532226.0,2023,3
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0128,28642888.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0127,2170258.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Promedio,Are0010,283243648.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0056,44368420.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0012,9670323.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Promedio,Are0002,147271744.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0056,44177580.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0002,77596432.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0002,77596432.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0012,9670323.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Promedio,Are0010,287600928.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Promedio,Are0127,3882899.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0128,28642888.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0010,408354848.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0012,9670323.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0012,9670323.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0002,77992880.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Promedio,Are0002,146427312.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Promedio,Are0128,39766480.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0002,77992880.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0127,2170258.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0128,27146932.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Promedio,Are0056,71002096.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Promedio,Are0127,4115000.25,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0128,27146932.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0056,44368420.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Promedio,Are0128,41391200.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0010,185712896.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Promedio,Are0056,71698240.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0010,411354848.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0056,44177580.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0127,2016193.5,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Percentil 5,Are0127,2016193.5,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Coordinado,Promedio,Are0012,22164054.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Promedio,Are0012,23123870.0,2023,6
2023-10-10,24,2025-05-01,2025-05-31,Autonomo,Percentil 5,Are0010,185629040.0,2023,6
2023-10-09,34,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0056,46201612.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0128,27002606.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0012,12023548.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Coordinado,Percentil 95,Are0010,364967744.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Autonomo,Promedio,Are0128,44404580.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Autonomo,Percentil 95,Are0010,391064512.0,2022,8
2023-10-09,34,2025-05-01,2025-05-31,Autonomo,Promedio,Are0056,66275176.0,2022,8
